source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[biological replicate]	assay name	comment[fraction identifier]	comment[technical replicate]	comment[Instrument]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[dissociation method]	comment[data file]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]
PXD002582_20131128_Macrophage_set1_FN_9_01	Mus musculus	Primary cells Bone marrow derived macrophages	not avalaible	not avalaible	1	not avalaible	not avalaible	not avalaible	not avalaible	4.5 ppm	20 ppm	NT=HCD	20131128_Macrophage_set1_FN_9_01.mgf	NT=Trypsin;AC=MS:1001251;CS=(?<=[KR])(?!P)	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Fixed;TA=M;MM=15.994915	NT=TMT6plex;AC=UNIMOD:737;CF=13C(4)15N(1)C(8)H(20)N(1)O(2);MT=Fixed;TA=K;MM=229.162932	NT=TMT6plex;AC=UNIMOD:737;CF=13C(4)15N(1)C(8)H(20)N(1)O(2);MT=Fixed;TA=N-term;MM=229.162932	Not avalaible	Not avalaible	Not avalaible	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Variable;TA=M;MM=15.994915	NT=TMT6plex;AC=UNIMOD:737;CF=13C(4)15N(1)C(8)H(20)N(1)O(2);MT=Variable;TA=K;MM=229.162932	NT=TMT6plex;AC=UNIMOD:737;CF=13C(4)15N(1)C(8)H(20)N(1)O(2);MT=Variable;TA=N-term;MM=229.162932	Not avalaible	Not avalaible	Not avalaible
PXD002582_20131128_Macrophage_set1_FN_9_02	Mus musculus	Primary cells Bone marrow derived macrophages	not avalaible	not avalaible	1	not avalaible	not avalaible	not avalaible	not avalaible	4.5 ppm	20 ppm	NT=HCD	20131128_Macrophage_set1_FN_9_02.mgf	NT=Trypsin;AC=MS:1001251;CS=(?<=[KR])(?!P)	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Fixed;TA=M;MM=15.994915	NT=TMT6plex;AC=UNIMOD:737;CF=13C(4)15N(1)C(8)H(20)N(1)O(2);MT=Fixed;TA=K;MM=229.162932	NT=TMT6plex;AC=UNIMOD:737;CF=13C(4)15N(1)C(8)H(20)N(1)O(2);MT=Fixed;TA=N-term;MM=229.162932	Not avalaible	Not avalaible	Not avalaible	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Variable;TA=M;MM=15.994915	NT=TMT6plex;AC=UNIMOD:737;CF=13C(4)15N(1)C(8)H(20)N(1)O(2);MT=Variable;TA=K;MM=229.162932	NT=TMT6plex;AC=UNIMOD:737;CF=13C(4)15N(1)C(8)H(20)N(1)O(2);MT=Variable;TA=N-term;MM=229.162932	Not avalaible	Not avalaible	Not avalaible
PXD002582_20140203_Macrophage_1	Mus musculus	Primary cells Bone marrow derived macrophages	not avalaible	not avalaible	1	not avalaible	not avalaible	not avalaible	not avalaible	4.5 ppm	20 ppm	NT=HCD	20140203_Macrophage_1.mgf	NT=Trypsin;AC=MS:1001251;CS=(?<=[KR])(?!P)	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Fixed;TA=M;MM=15.994915	NT=TMT6plex;AC=UNIMOD:737;CF=13C(4)15N(1)C(8)H(20)N(1)O(2);MT=Fixed;TA=K;MM=229.162932	NT=TMT6plex;AC=UNIMOD:737;CF=13C(4)15N(1)C(8)H(20)N(1)O(2);MT=Fixed;TA=N-term;MM=229.162932	Not avalaible	Not avalaible	Not avalaible	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Variable;TA=M;MM=15.994915	NT=TMT6plex;AC=UNIMOD:737;CF=13C(4)15N(1)C(8)H(20)N(1)O(2);MT=Variable;TA=K;MM=229.162932	NT=TMT6plex;AC=UNIMOD:737;CF=13C(4)15N(1)C(8)H(20)N(1)O(2);MT=Variable;TA=N-term;MM=229.162932	Not avalaible	Not avalaible	Not avalaible
PXD002582_20140203_Macrophage_10	Mus musculus	Primary cells Bone marrow derived macrophages	not avalaible	not avalaible	1	not avalaible	not avalaible	not avalaible	not avalaible	4.5 ppm	20 ppm	NT=HCD	20140203_Macrophage_10.mgf	NT=Trypsin;AC=MS:1001251;CS=(?<=[KR])(?!P)	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Fixed;TA=M;MM=15.994915	NT=TMT6plex;AC=UNIMOD:737;CF=13C(4)15N(1)C(8)H(20)N(1)O(2);MT=Fixed;TA=K;MM=229.162932	NT=TMT6plex;AC=UNIMOD:737;CF=13C(4)15N(1)C(8)H(20)N(1)O(2);MT=Fixed;TA=N-term;MM=229.162932	Not avalaible	Not avalaible	Not avalaible	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Variable;TA=M;MM=15.994915	NT=TMT6plex;AC=UNIMOD:737;CF=13C(4)15N(1)C(8)H(20)N(1)O(2);MT=Variable;TA=K;MM=229.162932	NT=TMT6plex;AC=UNIMOD:737;CF=13C(4)15N(1)C(8)H(20)N(1)O(2);MT=Variable;TA=N-term;MM=229.162932	Not avalaible	Not avalaible	Not avalaible
PXD002582_20140203_Macrophage_11	Mus musculus	Primary cells Bone marrow derived macrophages	not avalaible	not avalaible	1	not avalaible	not avalaible	not avalaible	not avalaible	4.5 ppm	20 ppm	NT=HCD	20140203_Macrophage_11.mgf	NT=Trypsin;AC=MS:1001251;CS=(?<=[KR])(?!P)	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Fixed;TA=M;MM=15.994915	NT=TMT6plex;AC=UNIMOD:737;CF=13C(4)15N(1)C(8)H(20)N(1)O(2);MT=Fixed;TA=K;MM=229.162932	NT=TMT6plex;AC=UNIMOD:737;CF=13C(4)15N(1)C(8)H(20)N(1)O(2);MT=Fixed;TA=N-term;MM=229.162932	Not avalaible	Not avalaible	Not avalaible	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Variable;TA=M;MM=15.994915	NT=TMT6plex;AC=UNIMOD:737;CF=13C(4)15N(1)C(8)H(20)N(1)O(2);MT=Variable;TA=K;MM=229.162932	NT=TMT6plex;AC=UNIMOD:737;CF=13C(4)15N(1)C(8)H(20)N(1)O(2);MT=Variable;TA=N-term;MM=229.162932	Not avalaible	Not avalaible	Not avalaible
PXD002582_20140203_Macrophage_12	Mus musculus	Primary cells Bone marrow derived macrophages	not avalaible	not avalaible	1	not avalaible	not avalaible	not avalaible	not avalaible	4.5 ppm	20 ppm	NT=HCD	20140203_Macrophage_12.mgf	NT=Trypsin;AC=MS:1001251;CS=(?<=[KR])(?!P)	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Fixed;TA=M;MM=15.994915	NT=TMT6plex;AC=UNIMOD:737;CF=13C(4)15N(1)C(8)H(20)N(1)O(2);MT=Fixed;TA=K;MM=229.162932	NT=TMT6plex;AC=UNIMOD:737;CF=13C(4)15N(1)C(8)H(20)N(1)O(2);MT=Fixed;TA=N-term;MM=229.162932	Not avalaible	Not avalaible	Not avalaible	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Variable;TA=M;MM=15.994915	NT=TMT6plex;AC=UNIMOD:737;CF=13C(4)15N(1)C(8)H(20)N(1)O(2);MT=Variable;TA=K;MM=229.162932	NT=TMT6plex;AC=UNIMOD:737;CF=13C(4)15N(1)C(8)H(20)N(1)O(2);MT=Variable;TA=N-term;MM=229.162932	Not avalaible	Not avalaible	Not avalaible
PXD002582_20140203_Macrophage_2	Mus musculus	Primary cells Bone marrow derived macrophages	not avalaible	not avalaible	1	not avalaible	not avalaible	not avalaible	not avalaible	4.5 ppm	20 ppm	NT=HCD	20140203_Macrophage_2.mgf	NT=Trypsin;AC=MS:1001251;CS=(?<=[KR])(?!P)	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Fixed;TA=M;MM=15.994915	NT=TMT6plex;AC=UNIMOD:737;CF=13C(4)15N(1)C(8)H(20)N(1)O(2);MT=Fixed;TA=K;MM=229.162932	NT=TMT6plex;AC=UNIMOD:737;CF=13C(4)15N(1)C(8)H(20)N(1)O(2);MT=Fixed;TA=N-term;MM=229.162932	Not avalaible	Not avalaible	Not avalaible	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Variable;TA=M;MM=15.994915	NT=TMT6plex;AC=UNIMOD:737;CF=13C(4)15N(1)C(8)H(20)N(1)O(2);MT=Variable;TA=K;MM=229.162932	NT=TMT6plex;AC=UNIMOD:737;CF=13C(4)15N(1)C(8)H(20)N(1)O(2);MT=Variable;TA=N-term;MM=229.162932	Not avalaible	Not avalaible	Not avalaible
PXD002582_20140203_Macrophage_3	Mus musculus	Primary cells Bone marrow derived macrophages	not avalaible	not avalaible	1	not avalaible	not avalaible	not avalaible	not avalaible	4.5 ppm	20 ppm	NT=HCD	20140203_Macrophage_3.mgf	NT=Trypsin;AC=MS:1001251;CS=(?<=[KR])(?!P)	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Fixed;TA=M;MM=15.994915	NT=TMT6plex;AC=UNIMOD:737;CF=13C(4)15N(1)C(8)H(20)N(1)O(2);MT=Fixed;TA=K;MM=229.162932	NT=TMT6plex;AC=UNIMOD:737;CF=13C(4)15N(1)C(8)H(20)N(1)O(2);MT=Fixed;TA=N-term;MM=229.162932	Not avalaible	Not avalaible	Not avalaible	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Variable;TA=M;MM=15.994915	NT=TMT6plex;AC=UNIMOD:737;CF=13C(4)15N(1)C(8)H(20)N(1)O(2);MT=Variable;TA=K;MM=229.162932	NT=TMT6plex;AC=UNIMOD:737;CF=13C(4)15N(1)C(8)H(20)N(1)O(2);MT=Variable;TA=N-term;MM=229.162932	Not avalaible	Not avalaible	Not avalaible
PXD002582_20140203_Macrophage_4	Mus musculus	Primary cells Bone marrow derived macrophages	not avalaible	not avalaible	1	not avalaible	not avalaible	not avalaible	not avalaible	4.5 ppm	20 ppm	NT=HCD	20140203_Macrophage_4.mgf	NT=Trypsin;AC=MS:1001251;CS=(?<=[KR])(?!P)	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Fixed;TA=M;MM=15.994915	NT=TMT6plex;AC=UNIMOD:737;CF=13C(4)15N(1)C(8)H(20)N(1)O(2);MT=Fixed;TA=K;MM=229.162932	NT=TMT6plex;AC=UNIMOD:737;CF=13C(4)15N(1)C(8)H(20)N(1)O(2);MT=Fixed;TA=N-term;MM=229.162932	Not avalaible	Not avalaible	Not avalaible	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Variable;TA=M;MM=15.994915	NT=TMT6plex;AC=UNIMOD:737;CF=13C(4)15N(1)C(8)H(20)N(1)O(2);MT=Variable;TA=K;MM=229.162932	NT=TMT6plex;AC=UNIMOD:737;CF=13C(4)15N(1)C(8)H(20)N(1)O(2);MT=Variable;TA=N-term;MM=229.162932	Not avalaible	Not avalaible	Not avalaible
PXD002582_20140203_Macrophage_5	Mus musculus	Primary cells Bone marrow derived macrophages	not avalaible	not avalaible	1	not avalaible	not avalaible	not avalaible	not avalaible	4.5 ppm	20 ppm	NT=HCD	20140203_Macrophage_5.mgf	NT=Trypsin;AC=MS:1001251;CS=(?<=[KR])(?!P)	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Fixed;TA=M;MM=15.994915	NT=TMT6plex;AC=UNIMOD:737;CF=13C(4)15N(1)C(8)H(20)N(1)O(2);MT=Fixed;TA=K;MM=229.162932	NT=TMT6plex;AC=UNIMOD:737;CF=13C(4)15N(1)C(8)H(20)N(1)O(2);MT=Fixed;TA=N-term;MM=229.162932	Not avalaible	Not avalaible	Not avalaible	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Variable;TA=M;MM=15.994915	NT=TMT6plex;AC=UNIMOD:737;CF=13C(4)15N(1)C(8)H(20)N(1)O(2);MT=Variable;TA=K;MM=229.162932	NT=TMT6plex;AC=UNIMOD:737;CF=13C(4)15N(1)C(8)H(20)N(1)O(2);MT=Variable;TA=N-term;MM=229.162932	Not avalaible	Not avalaible	Not avalaible
PXD002582_20140203_Macrophage_6	Mus musculus	Primary cells Bone marrow derived macrophages	not avalaible	not avalaible	1	not avalaible	not avalaible	not avalaible	not avalaible	4.5 ppm	20 ppm	NT=HCD	20140203_Macrophage_6.mgf	NT=Trypsin;AC=MS:1001251;CS=(?<=[KR])(?!P)	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Fixed;TA=M;MM=15.994915	NT=TMT6plex;AC=UNIMOD:737;CF=13C(4)15N(1)C(8)H(20)N(1)O(2);MT=Fixed;TA=K;MM=229.162932	NT=TMT6plex;AC=UNIMOD:737;CF=13C(4)15N(1)C(8)H(20)N(1)O(2);MT=Fixed;TA=N-term;MM=229.162932	Not avalaible	Not avalaible	Not avalaible	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Variable;TA=M;MM=15.994915	NT=TMT6plex;AC=UNIMOD:737;CF=13C(4)15N(1)C(8)H(20)N(1)O(2);MT=Variable;TA=K;MM=229.162932	NT=TMT6plex;AC=UNIMOD:737;CF=13C(4)15N(1)C(8)H(20)N(1)O(2);MT=Variable;TA=N-term;MM=229.162932	Not avalaible	Not avalaible	Not avalaible
PXD002582_20140203_Macrophage_7	Mus musculus	Primary cells Bone marrow derived macrophages	not avalaible	not avalaible	1	not avalaible	not avalaible	not avalaible	not avalaible	4.5 ppm	20 ppm	NT=HCD	20140203_Macrophage_7.mgf	NT=Trypsin;AC=MS:1001251;CS=(?<=[KR])(?!P)	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Fixed;TA=M;MM=15.994915	NT=TMT6plex;AC=UNIMOD:737;CF=13C(4)15N(1)C(8)H(20)N(1)O(2);MT=Fixed;TA=K;MM=229.162932	NT=TMT6plex;AC=UNIMOD:737;CF=13C(4)15N(1)C(8)H(20)N(1)O(2);MT=Fixed;TA=N-term;MM=229.162932	Not avalaible	Not avalaible	Not avalaible	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Variable;TA=M;MM=15.994915	NT=TMT6plex;AC=UNIMOD:737;CF=13C(4)15N(1)C(8)H(20)N(1)O(2);MT=Variable;TA=K;MM=229.162932	NT=TMT6plex;AC=UNIMOD:737;CF=13C(4)15N(1)C(8)H(20)N(1)O(2);MT=Variable;TA=N-term;MM=229.162932	Not avalaible	Not avalaible	Not avalaible
PXD002582_20140203_Macrophage_8	Mus musculus	Primary cells Bone marrow derived macrophages	not avalaible	not avalaible	1	not avalaible	not avalaible	not avalaible	not avalaible	4.5 ppm	20 ppm	NT=HCD	20140203_Macrophage_8.mgf	NT=Trypsin;AC=MS:1001251;CS=(?<=[KR])(?!P)	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Fixed;TA=M;MM=15.994915	NT=TMT6plex;AC=UNIMOD:737;CF=13C(4)15N(1)C(8)H(20)N(1)O(2);MT=Fixed;TA=K;MM=229.162932	NT=TMT6plex;AC=UNIMOD:737;CF=13C(4)15N(1)C(8)H(20)N(1)O(2);MT=Fixed;TA=N-term;MM=229.162932	Not avalaible	Not avalaible	Not avalaible	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Variable;TA=M;MM=15.994915	NT=TMT6plex;AC=UNIMOD:737;CF=13C(4)15N(1)C(8)H(20)N(1)O(2);MT=Variable;TA=K;MM=229.162932	NT=TMT6plex;AC=UNIMOD:737;CF=13C(4)15N(1)C(8)H(20)N(1)O(2);MT=Variable;TA=N-term;MM=229.162932	Not avalaible	Not avalaible	Not avalaible
PXD002582_20140203_Macrophage_9	Mus musculus	Primary cells Bone marrow derived macrophages	not avalaible	not avalaible	1	not avalaible	not avalaible	not avalaible	not avalaible	4.5 ppm	20 ppm	NT=HCD	20140203_Macrophage_9.mgf	NT=Trypsin;AC=MS:1001251;CS=(?<=[KR])(?!P)	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Fixed;TA=M;MM=15.994915	NT=TMT6plex;AC=UNIMOD:737;CF=13C(4)15N(1)C(8)H(20)N(1)O(2);MT=Fixed;TA=K;MM=229.162932	NT=TMT6plex;AC=UNIMOD:737;CF=13C(4)15N(1)C(8)H(20)N(1)O(2);MT=Fixed;TA=N-term;MM=229.162932	Not avalaible	Not avalaible	Not avalaible	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Variable;TA=M;MM=15.994915	NT=TMT6plex;AC=UNIMOD:737;CF=13C(4)15N(1)C(8)H(20)N(1)O(2);MT=Variable;TA=K;MM=229.162932	NT=TMT6plex;AC=UNIMOD:737;CF=13C(4)15N(1)C(8)H(20)N(1)O(2);MT=Variable;TA=N-term;MM=229.162932	Not avalaible	Not avalaible	Not avalaible
PXD002582_20140205_Macrophage_1	Mus musculus	Primary cells Bone marrow derived macrophages	not avalaible	not avalaible	1	not avalaible	not avalaible	not avalaible	not avalaible	4.5 ppm	20 ppm	NT=HCD	20140205_Macrophage_1.mgf	NT=Trypsin;AC=MS:1001251;CS=(?<=[KR])(?!P)	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Fixed;TA=M;MM=15.994915	NT=TMT6plex;AC=UNIMOD:737;CF=13C(4)15N(1)C(8)H(20)N(1)O(2);MT=Fixed;TA=K;MM=229.162932	NT=TMT6plex;AC=UNIMOD:737;CF=13C(4)15N(1)C(8)H(20)N(1)O(2);MT=Fixed;TA=N-term;MM=229.162932	Not avalaible	Not avalaible	Not avalaible	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Variable;TA=M;MM=15.994915	NT=TMT6plex;AC=UNIMOD:737;CF=13C(4)15N(1)C(8)H(20)N(1)O(2);MT=Variable;TA=K;MM=229.162932	NT=TMT6plex;AC=UNIMOD:737;CF=13C(4)15N(1)C(8)H(20)N(1)O(2);MT=Variable;TA=N-term;MM=229.162932	Not avalaible	Not avalaible	Not avalaible
PXD002582_20140205_Macrophage_10	Mus musculus	Primary cells Bone marrow derived macrophages	not avalaible	not avalaible	1	not avalaible	not avalaible	not avalaible	not avalaible	4.5 ppm	20 ppm	NT=HCD	20140205_Macrophage_10.mgf	NT=Trypsin;AC=MS:1001251;CS=(?<=[KR])(?!P)	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Fixed;TA=M;MM=15.994915	NT=TMT6plex;AC=UNIMOD:737;CF=13C(4)15N(1)C(8)H(20)N(1)O(2);MT=Fixed;TA=K;MM=229.162932	NT=TMT6plex;AC=UNIMOD:737;CF=13C(4)15N(1)C(8)H(20)N(1)O(2);MT=Fixed;TA=N-term;MM=229.162932	Not avalaible	Not avalaible	Not avalaible	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Variable;TA=M;MM=15.994915	NT=TMT6plex;AC=UNIMOD:737;CF=13C(4)15N(1)C(8)H(20)N(1)O(2);MT=Variable;TA=K;MM=229.162932	NT=TMT6plex;AC=UNIMOD:737;CF=13C(4)15N(1)C(8)H(20)N(1)O(2);MT=Variable;TA=N-term;MM=229.162932	Not avalaible	Not avalaible	Not avalaible
PXD002582_20140205_Macrophage_11	Mus musculus	Primary cells Bone marrow derived macrophages	not avalaible	not avalaible	1	not avalaible	not avalaible	not avalaible	not avalaible	4.5 ppm	20 ppm	NT=HCD	20140205_Macrophage_11.mgf	NT=Trypsin;AC=MS:1001251;CS=(?<=[KR])(?!P)	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Fixed;TA=M;MM=15.994915	NT=TMT6plex;AC=UNIMOD:737;CF=13C(4)15N(1)C(8)H(20)N(1)O(2);MT=Fixed;TA=K;MM=229.162932	NT=TMT6plex;AC=UNIMOD:737;CF=13C(4)15N(1)C(8)H(20)N(1)O(2);MT=Fixed;TA=N-term;MM=229.162932	Not avalaible	Not avalaible	Not avalaible	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Variable;TA=M;MM=15.994915	NT=TMT6plex;AC=UNIMOD:737;CF=13C(4)15N(1)C(8)H(20)N(1)O(2);MT=Variable;TA=K;MM=229.162932	NT=TMT6plex;AC=UNIMOD:737;CF=13C(4)15N(1)C(8)H(20)N(1)O(2);MT=Variable;TA=N-term;MM=229.162932	Not avalaible	Not avalaible	Not avalaible
PXD002582_20140205_Macrophage_12	Mus musculus	Primary cells Bone marrow derived macrophages	not avalaible	not avalaible	1	not avalaible	not avalaible	not avalaible	not avalaible	4.5 ppm	20 ppm	NT=HCD	20140205_Macrophage_12.mgf	NT=Trypsin;AC=MS:1001251;CS=(?<=[KR])(?!P)	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Fixed;TA=M;MM=15.994915	NT=TMT6plex;AC=UNIMOD:737;CF=13C(4)15N(1)C(8)H(20)N(1)O(2);MT=Fixed;TA=K;MM=229.162932	NT=TMT6plex;AC=UNIMOD:737;CF=13C(4)15N(1)C(8)H(20)N(1)O(2);MT=Fixed;TA=N-term;MM=229.162932	Not avalaible	Not avalaible	Not avalaible	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Variable;TA=M;MM=15.994915	NT=TMT6plex;AC=UNIMOD:737;CF=13C(4)15N(1)C(8)H(20)N(1)O(2);MT=Variable;TA=K;MM=229.162932	NT=TMT6plex;AC=UNIMOD:737;CF=13C(4)15N(1)C(8)H(20)N(1)O(2);MT=Variable;TA=N-term;MM=229.162932	Not avalaible	Not avalaible	Not avalaible
PXD002582_20140205_Macrophage_2	Mus musculus	Primary cells Bone marrow derived macrophages	not avalaible	not avalaible	1	not avalaible	not avalaible	not avalaible	not avalaible	4.5 ppm	20 ppm	NT=HCD	20140205_Macrophage_2.mgf	NT=Trypsin;AC=MS:1001251;CS=(?<=[KR])(?!P)	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Fixed;TA=M;MM=15.994915	NT=TMT6plex;AC=UNIMOD:737;CF=13C(4)15N(1)C(8)H(20)N(1)O(2);MT=Fixed;TA=K;MM=229.162932	NT=TMT6plex;AC=UNIMOD:737;CF=13C(4)15N(1)C(8)H(20)N(1)O(2);MT=Fixed;TA=N-term;MM=229.162932	Not avalaible	Not avalaible	Not avalaible	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Variable;TA=M;MM=15.994915	NT=TMT6plex;AC=UNIMOD:737;CF=13C(4)15N(1)C(8)H(20)N(1)O(2);MT=Variable;TA=K;MM=229.162932	NT=TMT6plex;AC=UNIMOD:737;CF=13C(4)15N(1)C(8)H(20)N(1)O(2);MT=Variable;TA=N-term;MM=229.162932	Not avalaible	Not avalaible	Not avalaible
PXD002582_20140205_Macrophage_3	Mus musculus	Primary cells Bone marrow derived macrophages	not avalaible	not avalaible	1	not avalaible	not avalaible	not avalaible	not avalaible	4.5 ppm	20 ppm	NT=HCD	20140205_Macrophage_3.mgf	NT=Trypsin;AC=MS:1001251;CS=(?<=[KR])(?!P)	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Fixed;TA=M;MM=15.994915	NT=TMT6plex;AC=UNIMOD:737;CF=13C(4)15N(1)C(8)H(20)N(1)O(2);MT=Fixed;TA=K;MM=229.162932	NT=TMT6plex;AC=UNIMOD:737;CF=13C(4)15N(1)C(8)H(20)N(1)O(2);MT=Fixed;TA=N-term;MM=229.162932	Not avalaible	Not avalaible	Not avalaible	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Variable;TA=M;MM=15.994915	NT=TMT6plex;AC=UNIMOD:737;CF=13C(4)15N(1)C(8)H(20)N(1)O(2);MT=Variable;TA=K;MM=229.162932	NT=TMT6plex;AC=UNIMOD:737;CF=13C(4)15N(1)C(8)H(20)N(1)O(2);MT=Variable;TA=N-term;MM=229.162932	Not avalaible	Not avalaible	Not avalaible
PXD002582_20140205_Macrophage_7	Mus musculus	Primary cells Bone marrow derived macrophages	not avalaible	not avalaible	1	not avalaible	not avalaible	not avalaible	not avalaible	4.5 ppm	20 ppm	NT=HCD	20140205_Macrophage_7.mgf	NT=Trypsin;AC=MS:1001251;CS=(?<=[KR])(?!P)	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Fixed;TA=M;MM=15.994915	NT=TMT6plex;AC=UNIMOD:737;CF=13C(4)15N(1)C(8)H(20)N(1)O(2);MT=Fixed;TA=K;MM=229.162932	NT=TMT6plex;AC=UNIMOD:737;CF=13C(4)15N(1)C(8)H(20)N(1)O(2);MT=Fixed;TA=N-term;MM=229.162932	Not avalaible	Not avalaible	Not avalaible	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Variable;TA=M;MM=15.994915	NT=TMT6plex;AC=UNIMOD:737;CF=13C(4)15N(1)C(8)H(20)N(1)O(2);MT=Variable;TA=K;MM=229.162932	NT=TMT6plex;AC=UNIMOD:737;CF=13C(4)15N(1)C(8)H(20)N(1)O(2);MT=Variable;TA=N-term;MM=229.162932	Not avalaible	Not avalaible	Not avalaible
PXD002582_20140205_Macrophage_8	Mus musculus	Primary cells Bone marrow derived macrophages	not avalaible	not avalaible	1	not avalaible	not avalaible	not avalaible	not avalaible	4.5 ppm	20 ppm	NT=HCD	20140205_Macrophage_8.mgf	NT=Trypsin;AC=MS:1001251;CS=(?<=[KR])(?!P)	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Fixed;TA=M;MM=15.994915	NT=TMT6plex;AC=UNIMOD:737;CF=13C(4)15N(1)C(8)H(20)N(1)O(2);MT=Fixed;TA=K;MM=229.162932	NT=TMT6plex;AC=UNIMOD:737;CF=13C(4)15N(1)C(8)H(20)N(1)O(2);MT=Fixed;TA=N-term;MM=229.162932	Not avalaible	Not avalaible	Not avalaible	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Variable;TA=M;MM=15.994915	NT=TMT6plex;AC=UNIMOD:737;CF=13C(4)15N(1)C(8)H(20)N(1)O(2);MT=Variable;TA=K;MM=229.162932	NT=TMT6plex;AC=UNIMOD:737;CF=13C(4)15N(1)C(8)H(20)N(1)O(2);MT=Variable;TA=N-term;MM=229.162932	Not avalaible	Not avalaible	Not avalaible
PXD002582_20140205_Macrophage_9	Mus musculus	Primary cells Bone marrow derived macrophages	not avalaible	not avalaible	1	not avalaible	not avalaible	not avalaible	not avalaible	4.5 ppm	20 ppm	NT=HCD	20140205_Macrophage_9.mgf	NT=Trypsin;AC=MS:1001251;CS=(?<=[KR])(?!P)	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Fixed;TA=M;MM=15.994915	NT=TMT6plex;AC=UNIMOD:737;CF=13C(4)15N(1)C(8)H(20)N(1)O(2);MT=Fixed;TA=K;MM=229.162932	NT=TMT6plex;AC=UNIMOD:737;CF=13C(4)15N(1)C(8)H(20)N(1)O(2);MT=Fixed;TA=N-term;MM=229.162932	Not avalaible	Not avalaible	Not avalaible	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Variable;TA=M;MM=15.994915	NT=TMT6plex;AC=UNIMOD:737;CF=13C(4)15N(1)C(8)H(20)N(1)O(2);MT=Variable;TA=K;MM=229.162932	NT=TMT6plex;AC=UNIMOD:737;CF=13C(4)15N(1)C(8)H(20)N(1)O(2);MT=Variable;TA=N-term;MM=229.162932	Not avalaible	Not avalaible	Not avalaible
